item_id,name,category,tags,location_zone,popularity_score,is_24x7,accessibility_features,distance_km,brands,cafes_restaurants,activities
1,City Centre Mall,Entertainment,"cinema, food-court, premium-brands, arcade, hypermarket",Hampankatta,0.95,False,"wheelchair, strollers",1.2,"Lifestyle, Max, Reliance Trends, Adidas, Puma","KFC, McDonald's, Cafe Coffee Day, Baskin Robbins","Cinepolis Cinemas, Timezone Arcade, Fun City Kids Zone"
2,Forum Fiza Mall,Luxury,"premium-brands, cinema, fine-dining, valet-parking, boutiques, pet-friendly",Pandeshwar,0.92,False,"wheelchair, braille, strollers",2.5,"Zara, H&M, Marks & Spencer, MAC, Calvin Klein","Starbucks, Mainland China, Barbeque Nation, Irish House","PVR Cinemas, Bowling Alley, VR Gaming Station"
3,Bharath Mall,Convenience,"supermarket, cinema, fast-food, pharmacy, easy-parking",Bejai,0.88,False,"wheelchair",3.1,"Big Bazaar, Pantaloons, FabIndia","Pizza Hut, Domino's, Subway, Cafe Dine","Big Cinemas, Kids Play Area"
4,Mak Mall,Convenience,"supermarket, apparel, local-brands, food-court, easy-parking",Kankanady,0.75,False,"wheelchair",1.8,"Reliance Smart, Local Boutiques, Titan","Food Court (Local Cuisines), Bakery","None"
5,Empire Mall,Entertainment,"apparel, electronics, restaurants, gym",Kodialbail,0.80,False,"wheelchair",1.5,"Reliance Digital, Allen Solly, Peter England","Nandus, Cafe 18, Ice Cream Parlour","Gold's Gym, Snooker Club"
6,Mischief Mall,Outlet,"discount-stores, wholesale, local-brands, tailoring",Hampankatta,0.65,False,"none",1.0,"Local Retailers, Wholesale Outlets","Small Eateries, Chai Stalls","None"
7,Lotus Mall (Upcoming),Luxury,"premium-brands, multiplex, kids-zone, food-court, valet-parking",Kulshekar,0.85,False,"wheelchair, strollers",4.2,"TBD (Premium Brands)","TBD (Fine Dining & Food Court)","TBD (Multiplex & Family Entertainment)"
8,Excel Mall,Convenience,"supermarket, pharmacy, bakery, hardware, easy-parking",Surathkal,0.70,False,"wheelchair",15.3,"More Supermarket, Apollo Pharmacy","Local Bakery, Juice Center","None"
9,Pio Mall,Convenience,"apparel, accessories, fast-food, local-brands",Bejai,0.68,False,"wheelchair",3.5,"Fashion Street Outlets, Local Jewelers","Fast Food Kiosks","None"
10,Times Square Mall,Entertainment,"bowling, arcade, cinema, food-court, premium-brands",Kodialbail,0.89,False,"wheelchair, strollers",1.7,"Shoppers Stop, Levi's, UCB","Hard Rock Cafe, Taco Bell, Gelato","Amoeba Bowling, Arcade Center, Inox Cinemas"
11,Mangalore Central,Outlet,"discount-stores, apparel, shoes, home-decor, easy-parking",Hampankatta,0.82,False,"wheelchair",1.1,"Brand Factory, Bata, Home Center","Food Court, Coffee Kiosk","None"
12,24/7 Supermart Plazza,Convenience,"supermarket, pharmacy, atm, 24x7",Kankanady,0.60,True,"wheelchair",2.0,"Spar Hypermarket","24x7 Coffee Shop, Snack Bar","None"
13,Westline Signature Mall,Luxury,"premium-brands, fine-dining, spa, valet-parking, smart-parking",Pumpwell,0.90,False,"wheelchair, braille",3.8,"Gucci, Armani Exchange, Sephora","Sky Lounge, Premium Sushi Bar, Starbucks","O2 Spa, Indoor Golf"
14,Corsa City Plaza,Entertainment,"cinema, vr-gaming, food-court, apparel",Derebail,0.77,False,"wheelchair",5.2,"Local Fashion Brands, Gadget Stores","Food Court, Pizzeria","Mini-Cinema, VR Gaming Zone"
15,Gateway Mall,Convenience,"electronics, home-appliances, food-court, easy-parking",Urwa,0.73,False,"wheelchair",4.5,"Croma, Reliance Digital","Food Court","None"
